         16127163 function calls (14951606 primitive calls) in 151.286 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   108740    0.097    0.000    0.141    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:185(rows)
      661    0.009    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    15284    0.089    0.000    0.132    0.000 /home/amax/xyc/MATr/offpymarl/src/components/episode_buffer.py:181(_parse_slices)
        1    0.000    0.000    0.130    0.130 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/printing/latex.py:1(<module>)
        1    0.000    0.000    0.128    0.128 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/tensor/__init__.py:1(<module>)
     1200    0.033    0.000    0.127    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:565(<listcomp>)
   106222    0.089    0.000    0.125    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:189(cols)
      137    0.000    0.000    0.123    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:1174(wrap)
    37854    0.123    0.000    0.123    0.000 {built-in method numpy.asanyarray}
      137    0.011    0.000    0.123    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:881(_process_class)
    83757    0.105    0.000    0.122    0.000 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:20(__getitem__)
534722/534667    0.114    0.000    0.122    0.000 {built-in method builtins.isinstance}
